chr	start	end	coverage	methylation_level
chr1	216962	216963	35	0.687
chr1	216998	216999	38	0.7568
chr1	217018	217019	32	0.509
chr1	217039	217040	31	0.708
chr1	217098	217099	27	0.6141
chr1	217145	217146	29	0.6759
chr1	217191	217192	34	0.5753
chr1	217233	217234	31	0.5491
chr1	217246	217247	25	0.408
chr1	217271	217272	27	0.6034
chr1	217305	217306	35	0.4131
chr1	217321	217322	34	0.51
chr1	217330	217331	33	0.4663
chr1	217344	217345	30	0.6025
chr1	217354	217355	31	0.6602
chr1	217371	217372	30	0.7556
chr1	217404	217405	33	0.5522
chr1	217407	217408	29	0.5261
chr1	217432	217433	37	0.403
chr1	217469	217470	22	0.4601
chr1	217507	217508	21	0.6737
chr1	217532	217533	24	0.3633
chr1	217563	217564	33	0.3798
chr1	217600	217601	25	0.6318
chr1	217610	217611	31	0.4928
chr1	217651	217652	28	0.5689
chr1	217664	217665	27	0.5952
chr1	217685	217686	28	0.5541
chr1	217712	217713	33	0.7325
chr1	217759	217760	34	0.5407
chr1	217807	217808	31	0.5478
chr1	217839	217840	34	0.7198
chr1	217874	217875	23	0.3526
chr1	217930	217931	27	0.5777
chr1	217974	217975	31	0.6342
chr1	217984	217985	28	0.6332
chr1	218006	218007	21	0.6251
chr1	218018	218019	30	0.4457
chr1	218020	218021	37	0.736
