chr	start	end	coverage	methylation_level
chr1	216962	216963	30	0.9348
chr1	216998	216999	23	0.9337
chr1	217018	217019	25	0.8578
chr1	217039	217040	30	0.7903
chr1	217051	217052	27	0.997
chr1	217098	217099	34	0.9553
chr1	217145	217146	26	0.8268
chr1	217191	217192	24	0.8318
chr1	217246	217247	37	0.9142
chr1	217271	217272	33	0.7981
chr1	217321	217322	19	0.6881
chr1	217330	217331	29	0.9915
chr1	217344	217345	21	0.8126
chr1	217354	217355	27	0.949
chr1	217371	217372	28	0.7896
chr1	217404	217405	31	0.9199
chr1	217407	217408	29	0.9413
chr1	217432	217433	26	0.8251
chr1	217469	217470	22	0.8702
chr1	217507	217508	38	0.6997
chr1	217532	217533	30	0.8755
chr1	217563	217564	21	0.9151
chr1	217600	217601	29	0.9093
chr1	217610	217611	28	0.8759
chr1	217651	217652	32	0.8161
chr1	217658	217659	32	0.8373
chr1	217664	217665	22	0.8725
chr1	217685	217686	33	0.7898
chr1	217712	217713	31	0.8507
chr1	217759	217760	25	0.8917
chr1	217839	217840	37	0.9049
chr1	217874	217875	19	0.8898
chr1	217902	217903	24	0.8945
chr1	217930	217931	20	0.8161
chr1	217974	217975	29	0.8915
chr1	217984	217985	30	0.8946
chr1	218006	218007	31	0.6941
chr1	218018	218019	33	0.7387
chr1	218020	218021	34	0.8642
