chr	start	end	coverage	methylation_level
chr1	216962	216963	30	0.9187
chr1	216998	216999	34	0.9305
chr1	217018	217019	32	0.8088
chr1	217039	217040	28	0.7597
chr1	217051	217052	32	0.9912
chr1	217145	217146	35	0.8711
chr1	217191	217192	25	0.8241
chr1	217233	217234	26	0.7336
chr1	217246	217247	26	0.8728
chr1	217271	217272	22	0.8441
chr1	217305	217306	27	0.7495
chr1	217321	217322	28	0.7346
chr1	217330	217331	30	0.9971
chr1	217344	217345	34	0.8731
chr1	217354	217355	17	0.91
chr1	217371	217372	28	0.8218
chr1	217404	217405	27	0.8989
chr1	217407	217408	32	0.9888
chr1	217432	217433	21	0.8152
chr1	217469	217470	32	0.8705
chr1	217507	217508	29	0.6455
chr1	217563	217564	27	0.9813
chr1	217600	217601	32	0.9026
chr1	217610	217611	32	0.905
chr1	217651	217652	21	0.8688
chr1	217658	217659	28	0.8073
chr1	217664	217665	38	0.8788
chr1	217685	217686	28	0.771
chr1	217712	217713	35	0.8488
chr1	217759	217760	26	0.8744
chr1	217807	217808	24	0.834
chr1	217839	217840	25	0.885
chr1	217874	217875	24	0.9112
chr1	217902	217903	28	0.9176
chr1	217930	217931	27	0.8115
chr1	217974	217975	28	0.9264
chr1	218006	218007	31	0.6953
chr1	218018	218019	26	0.7662
chr1	218020	218021	23	0.874
