chr	start	end	coverage	methylation_level
chr1	216962	216963	17	0.9562
chr1	216998	216999	30	0.9197
chr1	217018	217019	24	0.8396
chr1	217039	217040	33	0.7904
chr1	217098	217099	28	0.978
chr1	217145	217146	26	0.8512
chr1	217191	217192	33	0.7616
chr1	217233	217234	28	0.747
chr1	217246	217247	25	0.9096
chr1	217271	217272	37	0.8156
chr1	217305	217306	19	0.7597
chr1	217321	217322	28	0.7256
chr1	217330	217331	35	0.9807
chr1	217344	217345	29	0.828
chr1	217354	217355	31	0.9778
chr1	217371	217372	27	0.7928
chr1	217404	217405	31	0.9331
chr1	217407	217408	23	0.9875
chr1	217432	217433	29	0.8538
chr1	217469	217470	31	0.7671
chr1	217507	217508	36	0.6468
chr1	217532	217533	33	0.9608
chr1	217563	217564	27	0.971
chr1	217600	217601	30	0.8337
chr1	217610	217611	29	0.9137
chr1	217651	217652	27	0.8646
chr1	217658	217659	25	0.803
chr1	217664	217665	27	0.8648
chr1	217712	217713	31	0.8453
chr1	217759	217760	25	0.8706
chr1	217839	217840	33	0.8881
chr1	217874	217875	27	0.9209
chr1	217902	217903	27	0.8558
chr1	217930	217931	33	0.7816
chr1	217968	217969	27	0.8086
chr1	217974	217975	26	0.89
chr1	217984	217985	35	0.9359
chr1	218006	218007	32	0.6962
chr1	218018	218019	21	0.6477
chr1	218020	218021	36	0.8927
