chr	start	end	coverage	methylation_level
chr1	216962	216963	33	0.8797
chr1	216998	216999	34	0.9157
chr1	217018	217019	35	0.8279
chr1	217039	217040	28	0.7797
chr1	217098	217099	26	0.9842
chr1	217145	217146	22	0.8445
chr1	217233	217234	37	0.6809
chr1	217246	217247	23	0.8977
chr1	217271	217272	37	0.7966
chr1	217305	217306	36	0.78
chr1	217321	217322	31	0.7351
chr1	217330	217331	26	0.9995
chr1	217344	217345	21	0.7715
chr1	217354	217355	34	0.8694
chr1	217371	217372	33	0.807
chr1	217404	217405	35	0.8465
chr1	217407	217408	36	0.9314
chr1	217432	217433	22	0.8978
chr1	217469	217470	31	0.831
chr1	217507	217508	32	0.6834
chr1	217563	217564	16	0.9694
chr1	217600	217601	29	0.9109
chr1	217610	217611	27	0.8754
chr1	217651	217652	39	0.863
chr1	217658	217659	31	0.8083
chr1	217664	217665	36	0.8439
chr1	217685	217686	31	0.8081
chr1	217712	217713	33	0.8415
chr1	217759	217760	30	0.8942
chr1	217807	217808	25	0.9097
chr1	217839	217840	29	0.8942
chr1	217874	217875	24	0.8929
chr1	217902	217903	32	0.8503
chr1	217930	217931	25	0.7945
chr1	217974	217975	33	0.9075
chr1	217984	217985	32	0.9059
chr1	218006	218007	31	0.7091
chr1	218018	218019	35	0.6796
chr1	218020	218021	31	0.8994
