chr	start	end	coverage	methylation_level
chr1	216962	216963	35	0.6784
chr1	216998	216999	38	0.7308
chr1	217018	217019	36	0.5182
chr1	217039	217040	32	0.7098
chr1	217145	217146	33	0.7329
chr1	217191	217192	25	0.5702
chr1	217233	217234	28	0.5035
chr1	217271	217272	40	0.6164
chr1	217305	217306	33	0.3859
chr1	217321	217322	30	0.4953
chr1	217330	217331	30	0.5191
chr1	217344	217345	33	0.6431
chr1	217354	217355	31	0.611
chr1	217371	217372	42	0.6437
chr1	217404	217405	35	0.6109
chr1	217407	217408	28	0.4731
chr1	217432	217433	31	0.4859
chr1	217469	217470	30	0.4664
chr1	217507	217508	27	0.7168
chr1	217532	217533	37	0.3975
chr1	217563	217564	23	0.402
chr1	217600	217601	22	0.7077
chr1	217610	217611	38	0.4736
chr1	217651	217652	28	0.5247
chr1	217664	217665	30	0.5934
chr1	217712	217713	27	0.725
chr1	217759	217760	20	0.5483
chr1	217807	217808	28	0.5824
chr1	217874	217875	30	0.3747
chr1	217902	217903	23	0.6189
chr1	217930	217931	29	0.6485
chr1	217968	217969	31	0.5856
chr1	217974	217975	34	0.6747
chr1	218006	218007	30	0.5956
chr1	218018	218019	26	0.4564
chr1	218020	218021	35	0.6565
