chr	start	end	coverage	methylation_level
chr1	216962	216963	27	0.6955
chr1	216998	216999	33	0.7278
chr1	217018	217019	25	0.4533
chr1	217039	217040	35	0.7019
chr1	217051	217052	31	0.4764
chr1	217098	217099	28	0.6565
chr1	217145	217146	37	0.6823
chr1	217191	217192	37	0.5172
chr1	217233	217234	20	0.5663
chr1	217246	217247	28	0.5186
chr1	217271	217272	25	0.6048
chr1	217305	217306	41	0.478
chr1	217321	217322	35	0.5755
chr1	217330	217331	24	0.4861
chr1	217344	217345	27	0.5765
chr1	217354	217355	30	0.5658
chr1	217404	217405	20	0.5541
chr1	217407	217408	37	0.52
chr1	217432	217433	33	0.3954
chr1	217469	217470	34	0.4082
chr1	217507	217508	30	0.6942
chr1	217563	217564	28	0.388
chr1	217600	217601	29	0.6839
chr1	217610	217611	24	0.4488
chr1	217651	217652	44	0.5822
chr1	217658	217659	20	0.627
chr1	217664	217665	34	0.5905
chr1	217712	217713	35	0.6936
chr1	217759	217760	29	0.5568
chr1	217807	217808	31	0.5403
chr1	217839	217840	26	0.7374
chr1	217874	217875	29	0.328
chr1	217902	217903	41	0.7359
chr1	217930	217931	34	0.577
chr1	217968	217969	33	0.6217
chr1	217974	217975	35	0.6197
chr1	217984	217985	28	0.6181
chr1	218006	218007	34	0.6763
chr1	218018	218019	25	0.4645
chr1	218020	218021	33	0.6876
