chr	start	end	coverage	methylation_level
chr1	216962	216963	35	0.902
chr1	216998	216999	32	0.8862
chr1	217018	217019	24	0.9079
chr1	217039	217040	38	0.78
chr1	217051	217052	26	0.9785
chr1	217098	217099	29	0.9994
chr1	217145	217146	41	0.8819
chr1	217191	217192	30	0.7973
chr1	217246	217247	36	0.8337
chr1	217271	217272	31	0.816
chr1	217305	217306	28	0.7563
chr1	217321	217322	34	0.7315
chr1	217330	217331	28	0.9198
chr1	217344	217345	32	0.7848
chr1	217354	217355	36	0.9217
chr1	217371	217372	24	0.7932
chr1	217404	217405	36	0.9316
chr1	217407	217408	18	0.9642
chr1	217432	217433	28	0.8226
chr1	217469	217470	33	0.8263
chr1	217507	217508	40	0.6893
chr1	217532	217533	34	0.9179
chr1	217563	217564	22	0.9783
chr1	217600	217601	35	0.8454
chr1	217610	217611	30	0.8442
chr1	217651	217652	37	0.8384
chr1	217658	217659	24	0.8597
chr1	217664	217665	33	0.8958
chr1	217685	217686	32	0.7931
chr1	217712	217713	27	0.827
chr1	217759	217760	32	0.9589
chr1	217807	217808	37	0.8399
chr1	217874	217875	28	0.9334
chr1	217930	217931	38	0.7784
chr1	217974	217975	27	0.8963
chr1	217984	217985	26	0.9187
chr1	218006	218007	33	0.7825
chr1	218018	218019	26	0.7058
chr1	218020	218021	36	0.9173
