chr	start	end	coverage	methylation_level
chr1	216962	216963	40	0.7091
chr1	216998	216999	27	0.7001
chr1	217018	217019	37	0.4955
chr1	217039	217040	27	0.6796
chr1	217051	217052	33	0.5306
chr1	217098	217099	26	0.6141
chr1	217145	217146	34	0.6722
chr1	217233	217234	25	0.579
chr1	217271	217272	40	0.5934
chr1	217305	217306	33	0.3877
chr1	217321	217322	33	0.5475
chr1	217330	217331	33	0.5432
chr1	217344	217345	35	0.5144
chr1	217354	217355	30	0.6155
chr1	217371	217372	25	0.7237
chr1	217404	217405	28	0.5338
chr1	217407	217408	33	0.4997
chr1	217432	217433	27	0.3678
chr1	217469	217470	28	0.4015
chr1	217507	217508	31	0.6457
chr1	217532	217533	24	0.4084
chr1	217563	217564	17	0.3665
chr1	217600	217601	27	0.6702
chr1	217610	217611	38	0.4163
chr1	217651	217652	22	0.5548
chr1	217658	217659	30	0.6541
chr1	217664	217665	30	0.5968
chr1	217685	217686	30	0.5539
chr1	217712	217713	33	0.736
chr1	217759	217760	27	0.6014
chr1	217807	217808	33	0.5121
chr1	217839	217840	27	0.7443
chr1	217874	217875	23	0.3574
chr1	217902	217903	32	0.6143
chr1	217930	217931	35	0.6231
chr1	217968	217969	33	0.6043
chr1	217974	217975	32	0.6539
chr1	217984	217985	32	0.6367
chr1	218006	218007	36	0.6173
chr1	218018	218019	33	0.4677
chr1	218020	218021	37	0.704
