chr	start	end	coverage	methylation_level
chr1	216962	216963	41	0.7428
chr1	216998	216999	35	0.7032
chr1	217018	217019	28	0.4557
chr1	217039	217040	28	0.7385
chr1	217051	217052	35	0.5245
chr1	217098	217099	25	0.6201
chr1	217145	217146	29	0.6028
chr1	217191	217192	25	0.5857
chr1	217246	217247	22	0.4878
chr1	217271	217272	34	0.6318
chr1	217321	217322	32	0.4131
chr1	217330	217331	32	0.5162
chr1	217344	217345	23	0.5538
chr1	217354	217355	40	0.6498
chr1	217404	217405	28	0.5455
chr1	217407	217408	29	0.5112
chr1	217432	217433	34	0.404
chr1	217469	217470	33	0.4866
chr1	217507	217508	30	0.6533
chr1	217532	217533	21	0.3768
chr1	217563	217564	30	0.3603
chr1	217600	217601	24	0.6238
chr1	217610	217611	29	0.3833
chr1	217651	217652	28	0.5581
chr1	217658	217659	29	0.6383
chr1	217664	217665	22	0.5265
chr1	217685	217686	37	0.5097
chr1	217712	217713	31	0.7405
chr1	217759	217760	30	0.5305
chr1	217807	217808	36	0.5442
chr1	217839	217840	41	0.6942
chr1	217874	217875	37	0.3838
chr1	217902	217903	25	0.7137
chr1	217930	217931	25	0.6091
chr1	217968	217969	34	0.658
chr1	217974	217975	21	0.656
chr1	217984	217985	37	0.5424
chr1	218006	218007	26	0.5649
chr1	218018	218019	24	0.3979
chr1	218020	218021	35	0.667
