chr	start	end	coverage	methylation_level
chr1	216962	216963	31	0.7714
chr1	216998	216999	28	0.7535
chr1	217018	217019	23	0.5531
chr1	217039	217040	21	0.7056
chr1	217051	217052	38	0.6193
chr1	217098	217099	33	0.6449
chr1	217145	217146	25	0.6982
chr1	217191	217192	23	0.5435
chr1	217233	217234	31	0.5201
chr1	217246	217247	28	0.4596
chr1	217271	217272	33	0.6066
chr1	217305	217306	24	0.4353
chr1	217321	217322	31	0.5596
chr1	217330	217331	33	0.5103
chr1	217344	217345	32	0.6234
chr1	217354	217355	24	0.6235
chr1	217371	217372	31	0.7339
chr1	217404	217405	32	0.5269
chr1	217407	217408	30	0.4872
chr1	217432	217433	29	0.3916
chr1	217469	217470	44	0.5109
chr1	217507	217508	36	0.6346
chr1	217532	217533	28	0.3726
chr1	217563	217564	36	0.3675
chr1	217600	217601	31	0.6819
chr1	217610	217611	27	0.5005
chr1	217651	217652	36	0.567
chr1	217658	217659	30	0.5768
chr1	217664	217665	35	0.5395
chr1	217712	217713	28	0.6954
chr1	217759	217760	33	0.548
chr1	217839	217840	41	0.7409
chr1	217874	217875	25	0.3324
chr1	217930	217931	35	0.6033
chr1	217974	217975	30	0.6661
chr1	218006	218007	44	0.6011
chr1	218018	218019	31	0.408
chr1	218020	218021	29	0.6415
