chr	start	end	coverage	methylation_level	type
chr1	131334	131335	27	0.301	notable-DMR
chr1	131384	131385	23	0.3281	notable-DMR
chr1	131412	131413	28	1.0	notable-DMR
chr1	131428	131429	33	1.0	notable-DMR
chr1	131473	131474	33	0.184	notable-DMR
chr1	131488	131489	22	0.345	notable-DMR
chr1	131505	131506	28	0.3299	notable-DMR
chr1	131535	131536	33	1.0	notable-DMR
chr1	131565	131566	23	0.312	notable-DMR
chr1	131598	131599	38	0.792	notable-DMR
chr1	131648	131649	27	1.0	notable-DMR
chr1	131679	131680	36	0.3335	notable-DMR
chr1	131701	131702	34	0.972	notable-DMR
chr1	131723	131724	34	1.0	notable-DMR
chr1	131747	131748	25	0.8568	notable-DMR
chr1	131763	131764	38	0.6672	notable-DMR
chr1	131803	131804	26	0.8591	notable-DMR
chr1	131805	131806	22	0.7024	notable-DMR
chr1	131905	131906	21	1.0	notable-DMR
chr1	132005	132006	21	1.0	notable-DMR
chr1	132105	132106	26	0.361	notable-DMR
chr1	132155	132156	30	0.8532	notable-DMR
chr1	132239	132240	30	0.8721	notable-DMR
chr1	132277	132278	33	0.343	flank-DMR
chr1	132331	132332	30	0.334	flank-DMR
