chr	start	end	coverage	methylation_level	type
chr1	131334	131335	23	0.6941	notable-DMR
chr1	131384	131385	33	0.0	notable-DMR
chr1	131412	131413	23	0.1509	notable-DMR
chr1	131428	131429	26	0.5986	notable-DMR
chr1	131473	131474	38	0.6325	notable-DMR
chr1	131488	131489	33	0.4962	notable-DMR
chr1	131505	131506	43	0.4514	notable-DMR
chr1	131535	131536	33	0.819	notable-DMR
chr1	131565	131566	29	0.5661	notable-DMR
chr1	131598	131599	27	0.4675	notable-DMR
chr1	131648	131649	37	0.852	notable-DMR
chr1	131679	131680	33	0.6768	notable-DMR
chr1	131701	131702	29	0.6625	notable-DMR
chr1	131723	131724	29	0.048	notable-DMR
chr1	131747	131748	39	0.4902	notable-DMR
chr1	131763	131764	35	0.3755	notable-DMR
chr1	131803	131804	16	0.5328	notable-DMR
chr1	131805	131806	20	0.6005	notable-DMR
chr1	131905	131906	28	0.873	notable-DMR
chr1	132005	132006	31	0.084	notable-DMR
chr1	132105	132106	33	0.058	notable-DMR
chr1	132155	132156	28	0.078	notable-DMR
chr1	132239	132240	31	0.5106	notable-DMR
chr1	132277	132278	30	0.4126	flank-DMR
chr1	132331	132332	36	1.0	flank-DMR
