chr	start	end	coverage	methylation_level	type
chr1	131334	131335	23	0.301	notable-DMR
chr1	131384	131385	20	0.5594	notable-DMR
chr1	131412	131413	21	0.7891	notable-DMR
chr1	131428	131429	37	1.0	notable-DMR
chr1	131473	131474	24	0.184	notable-DMR
chr1	131488	131489	33	0.7685	notable-DMR
chr1	131505	131506	29	0.252	notable-DMR
chr1	131535	131536	30	1.0	notable-DMR
chr1	131565	131566	26	0.9045	notable-DMR
chr1	131598	131599	30	0.4251	notable-DMR
chr1	131648	131649	29	0.325	notable-DMR
chr1	131679	131680	34	0.179	notable-DMR
chr1	131701	131702	27	0.9466	notable-DMR
chr1	131723	131724	27	0.3276	notable-DMR
chr1	131747	131748	30	1.0	notable-DMR
chr1	131763	131764	35	1.0	notable-DMR
chr1	131803	131804	34	1.0	notable-DMR
chr1	131805	131806	31	0.9463	notable-DMR
chr1	131905	131906	31	0.7449	notable-DMR
chr1	132005	132006	30	0.8868	notable-DMR
chr1	132105	132106	31	0.9125	notable-DMR
chr1	132155	132156	25	0.6432	notable-DMR
chr1	132239	132240	23	0.84	notable-DMR
chr1	132277	132278	31	1.0	flank-DMR
chr1	132331	132332	31	0.5803	flank-DMR
