chr	start	end	coverage	methylation_level	type
chr1	131334	131335	31	0.3623	notable-DMR
chr1	131384	131385	41	0.4307	notable-DMR
chr1	131412	131413	32	0.5125	notable-DMR
chr1	131428	131429	25	0.972	notable-DMR
chr1	131473	131474	22	0.4763	notable-DMR
chr1	131488	131489	33	0.898	notable-DMR
chr1	131505	131506	28	0.7115	notable-DMR
chr1	131535	131536	24	0.819	notable-DMR
chr1	131565	131566	29	0.2739	notable-DMR
chr1	131598	131599	26	0.5834	notable-DMR
chr1	131648	131649	22	0.8192	notable-DMR
chr1	131679	131680	27	0.699	notable-DMR
chr1	131701	131702	23	0.3238	notable-DMR
chr1	131723	131724	32	0.7228	notable-DMR
chr1	131747	131748	27	0.175	notable-DMR
chr1	131763	131764	27	0.926	notable-DMR
chr1	131803	131804	40	0.163	notable-DMR
chr1	131805	131806	26	0.0	notable-DMR
chr1	131905	131906	27	0.2083	notable-DMR
chr1	132005	132006	24	0.884	notable-DMR
chr1	132105	132106	35	0.559	notable-DMR
chr1	132155	132156	29	0.8484	notable-DMR
chr1	132239	132240	24	0.5069	notable-DMR
chr1	132277	132278	26	1.0	flank-DMR
chr1	132331	132332	23	0.544	flank-DMR
