chr	start	end	coverage	methylation_level	type
chr1	131334	131335	28	0.301	notable-DMR
chr1	131384	131385	25	0.164	notable-DMR
chr1	131412	131413	24	0.6392	notable-DMR
chr1	131428	131429	33	0.911	notable-DMR
chr1	131473	131474	14	0.184	notable-DMR
chr1	131488	131489	35	0.345	notable-DMR
chr1	131505	131506	29	0.252	notable-DMR
chr1	131535	131536	36	0.3973	notable-DMR
chr1	131565	131566	33	0.4114	notable-DMR
chr1	131598	131599	17	0.8915	notable-DMR
chr1	131648	131649	20	0.346	notable-DMR
chr1	131679	131680	39	0.979	notable-DMR
chr1	131701	131702	30	0.2021	notable-DMR
chr1	131723	131724	30	0.316	notable-DMR
chr1	131747	131748	27	1.0	notable-DMR
chr1	131763	131764	31	0.429	notable-DMR
chr1	131803	131804	32	0.413	notable-DMR
chr1	131805	131806	20	0.8848	notable-DMR
chr1	131905	131906	26	1.0	notable-DMR
chr1	132005	132006	24	1.0	notable-DMR
chr1	132105	132106	38	0.8256	notable-DMR
chr1	132155	132156	28	0.4798	notable-DMR
chr1	132239	132240	27	0.331	notable-DMR
chr1	132277	132278	33	0.9943	flank-DMR
chr1	132331	132332	28	0.7464	flank-DMR
