chr	start	end	coverage	methylation_level	type
chr1	177091	177092	29	0.1479	non-DMR
chr1	177126	177127	27	0.165	non-DMR
chr1	177147	177148	37	0.0231	non-DMR
chr1	177197	177198	26	0.2468	non-DMR
chr1	177216	177217	28	0.1359	non-DMR
chr1	177250	177251	24	0.0074	non-DMR
chr1	177268	177269	30	0.1017	non-DMR
chr1	177286	177287	28	0.0183	non-DMR
chr1	177301	177302	33	0.0433	non-DMR
chr1	177336	177337	29	0.1504	non-DMR
chr1	177357	177358	25	0.0	non-DMR
chr1	177379	177380	30	0.0628	non-DMR
chr1	177416	177417	35	0.1557	non-DMR
chr1	177466	177467	26	0.0	non-DMR
chr1	177496	177497	43	0.2352	non-DMR
chr1	177523	177524	25	0.0233	non-DMR
chr1	177551	177552	23	0.0	non-DMR
chr1	177584	177585	32	0.1132	non-DMR
chr1	177618	177619	31	0.1624	non-DMR
chr1	177632	177633	27	0.0761	non-DMR
chr1	177690	177691	34	0.1267	non-DMR
chr1	177740	177741	30	0.0353	non-DMR
chr1	177806	177807	34	0.0278	non-DMR
chr1	177884	177885	33	0.0882	non-DMR
chr1	177934	177935	34	0.2529	non-DMR
chr1	178034	178035	27	0.0733	non-DMR
chr1	178134	178135	28	0.1133	non-DMR
chr1	178222	178223	37	0.0225	flank-DMR
