chr	start	end	coverage	methylation_level	type
chr1	157281	157282	32	0.8015	non-DMR
chr1	157319	157320	28	0.6452	non-DMR
chr1	157338	157339	26	0.7562	non-DMR
chr1	157354	157355	26	0.6852	non-DMR
chr1	157383	157384	23	0.689	non-DMR
chr1	157410	157411	31	0.6477	non-DMR
chr1	157447	157448	38	0.7353	non-DMR
chr1	157462	157463	38	0.7334	non-DMR
chr1	157489	157490	25	0.6009	non-DMR
chr1	157508	157509	28	0.8375	non-DMR
chr1	157558	157559	33	0.6275	non-DMR
chr1	157595	157596	28	0.8221	non-DMR
chr1	157618	157619	24	0.744	non-DMR
chr1	157668	157669	21	0.7324	non-DMR
chr1	157692	157693	36	0.7046	non-DMR
chr1	157720	157721	29	0.8202	non-DMR
chr1	157754	157755	32	0.6049	non-DMR
chr1	157801	157802	39	0.9274	non-DMR
chr1	157831	157832	38	0.689	non-DMR
chr1	157847	157848	28	0.6678	non-DMR
chr1	157926	157927	26	0.7241	non-DMR
chr1	157982	157983	26	0.6997	non-DMR
chr1	158082	158083	26	0.6527	non-DMR
chr1	158165	158166	33	0.785	non-DMR
chr1	158265	158266	25	0.6795	non-DMR
chr1	158365	158366	31	0.8048	non-DMR
chr1	158419	158420	25	0.72	flank-DMR
