chr	start	end	coverage	methylation_level	type
chr1	121125	121126	27	0.5564	non-DMR
chr1	121158	121159	29	0.469	non-DMR
chr1	121205	121206	25	0.571	non-DMR
chr1	121221	121222	25	0.723	non-DMR
chr1	121248	121249	32	0.6413	non-DMR
chr1	121274	121275	30	0.7118	non-DMR
chr1	121306	121307	31	0.543	non-DMR
chr1	121356	121357	29	0.744	non-DMR
chr1	121378	121379	27	0.5906	non-DMR
chr1	121419	121420	34	0.5176	non-DMR
chr1	121469	121470	32	0.4214	non-DMR
chr1	121489	121490	28	0.7615	non-DMR
chr1	121521	121522	31	0.4128	non-DMR
chr1	121553	121554	38	0.4588	non-DMR
chr1	121569	121570	30	0.6328	non-DMR
chr1	121609	121610	22	0.7382	non-DMR
chr1	121709	121710	22	0.6186	non-DMR
chr1	121776	121777	25	0.7447	non-DMR
chr1	121860	121861	36	0.4237	non-DMR
chr1	121910	121911	22	0.684	non-DMR
chr1	122010	122011	33	0.6325	non-DMR
chr1	122064	122065	30	0.739	flank-DMR
