chr	start	end	coverage	methylation_level	type
chr1	159419	159420	22	0.5704	inconsistent-DMR
chr1	159435	159436	32	0.5083	inconsistent-DMR
chr1	159450	159451	29	0.8548	inconsistent-DMR
chr1	159466	159467	36	0.9766	inconsistent-DMR
chr1	159484	159485	31	0.6492	inconsistent-DMR
chr1	159503	159504	17	0.8854	inconsistent-DMR
chr1	159542	159543	33	0.8073	inconsistent-DMR
chr1	159590	159591	35	0.5363	inconsistent-DMR
chr1	159608	159609	27	0.4699	inconsistent-DMR
chr1	159623	159624	31	0.6149	inconsistent-DMR
chr1	159668	159669	32	0.8975	inconsistent-DMR
chr1	159717	159718	38	0.6176	inconsistent-DMR
chr1	159767	159768	35	0.9307	inconsistent-DMR
chr1	159788	159789	30	0.4749	inconsistent-DMR
chr1	159805	159806	22	0.6236	inconsistent-DMR
chr1	159851	159852	33	0.6788	inconsistent-DMR
chr1	159901	159902	27	0.78	inconsistent-DMR
chr1	159932	159933	38	0.8894	inconsistent-DMR
chr1	159982	159983	29	0.6529	inconsistent-DMR
chr1	159984	159985	29	0.6289	inconsistent-DMR
chr1	160064	160065	34	0.7102	inconsistent-DMR
chr1	160164	160165	26	0.7534	inconsistent-DMR
chr1	160264	160265	34	0.7258	inconsistent-DMR
chr1	160364	160365	32	0.5513	inconsistent-DMR
chr1	160420	160421	35	0.5096	inconsistent-DMR
chr1	160498	160499	25	0.7003	inconsistent-DMR
chr1	160548	160549	33	0.7346	inconsistent-DMR
chr1	160609	160610	27	0.6156	flank-DMR
