chr	start	end	coverage	methylation_level	type
chr1	159419	159420	29	0.8426	inconsistent-DMR
chr1	159435	159436	30	0.7053	inconsistent-DMR
chr1	159450	159451	37	0.7045	inconsistent-DMR
chr1	159466	159467	36	0.7747	inconsistent-DMR
chr1	159484	159485	28	0.937	inconsistent-DMR
chr1	159503	159504	33	0.6633	inconsistent-DMR
chr1	159542	159543	33	0.5584	inconsistent-DMR
chr1	159590	159591	33	0.7698	inconsistent-DMR
chr1	159608	159609	27	0.6669	inconsistent-DMR
chr1	159623	159624	34	0.8552	inconsistent-DMR
chr1	159668	159669	29	0.6201	inconsistent-DMR
chr1	159717	159718	36	0.4323	inconsistent-DMR
chr1	159767	159768	24	0.6201	inconsistent-DMR
chr1	159788	159789	34	0.7904	inconsistent-DMR
chr1	159805	159806	35	0.8378	inconsistent-DMR
chr1	159851	159852	22	0.4427	inconsistent-DMR
chr1	159901	159902	31	0.5496	inconsistent-DMR
chr1	159932	159933	30	0.6806	inconsistent-DMR
chr1	159982	159983	25	0.8847	inconsistent-DMR
chr1	159984	159985	24	0.8924	inconsistent-DMR
chr1	160064	160065	34	0.8632	inconsistent-DMR
chr1	160164	160165	34	0.5891	inconsistent-DMR
chr1	160264	160265	26	0.5125	inconsistent-DMR
chr1	160364	160365	43	0.6171	inconsistent-DMR
chr1	160420	160421	24	0.7565	inconsistent-DMR
chr1	160498	160499	31	0.433	inconsistent-DMR
chr1	160548	160549	34	0.4835	inconsistent-DMR
chr1	160609	160610	32	0.6489	flank-DMR
