chr	start	end	coverage	methylation_level	type
chr1	159419	159420	25	0.6336	inconsistent-DMR
chr1	159435	159436	31	0.4492	inconsistent-DMR
chr1	159450	159451	24	0.9789	inconsistent-DMR
chr1	159466	159467	28	0.8564	inconsistent-DMR
chr1	159484	159485	28	0.6365	inconsistent-DMR
chr1	159503	159504	42	0.8856	inconsistent-DMR
chr1	159542	159543	34	0.73	inconsistent-DMR
chr1	159590	159591	29	0.5365	inconsistent-DMR
chr1	159608	159609	25	0.5607	inconsistent-DMR
chr1	159623	159624	34	0.6801	inconsistent-DMR
chr1	159668	159669	31	0.8689	inconsistent-DMR
chr1	159717	159718	28	0.7566	inconsistent-DMR
chr1	159767	159768	28	0.8387	inconsistent-DMR
chr1	159788	159789	33	0.5351	inconsistent-DMR
chr1	159805	159806	22	0.5771	inconsistent-DMR
chr1	159851	159852	24	0.593	inconsistent-DMR
chr1	159901	159902	32	0.7764	inconsistent-DMR
chr1	159932	159933	27	0.7686	inconsistent-DMR
chr1	159982	159983	27	0.7116	inconsistent-DMR
chr1	159984	159985	35	0.5666	inconsistent-DMR
chr1	160064	160065	23	0.7288	inconsistent-DMR
chr1	160164	160165	38	0.7357	inconsistent-DMR
chr1	160264	160265	23	0.638	inconsistent-DMR
chr1	160364	160365	30	0.6118	inconsistent-DMR
chr1	160420	160421	29	0.6026	inconsistent-DMR
chr1	160498	160499	33	0.6206	inconsistent-DMR
chr1	160548	160549	31	0.6965	inconsistent-DMR
chr1	160609	160610	28	0.5531	flank-DMR
