chr	start	end	coverage	methylation_level	type
chr1	159419	159420	22	0.7822	inconsistent-DMR
chr1	159435	159436	29	0.6838	inconsistent-DMR
chr1	159450	159451	33	0.7312	inconsistent-DMR
chr1	159466	159467	33	0.6925	inconsistent-DMR
chr1	159484	159485	24	0.9174	inconsistent-DMR
chr1	159503	159504	27	0.6053	inconsistent-DMR
chr1	159542	159543	29	0.6984	inconsistent-DMR
chr1	159590	159591	34	0.8175	inconsistent-DMR
chr1	159608	159609	24	0.766	inconsistent-DMR
chr1	159623	159624	36	0.9762	inconsistent-DMR
chr1	159668	159669	23	0.6398	inconsistent-DMR
chr1	159717	159718	31	0.5618	inconsistent-DMR
chr1	159767	159768	28	0.6471	inconsistent-DMR
chr1	159788	159789	34	0.7534	inconsistent-DMR
chr1	159805	159806	36	0.766	inconsistent-DMR
chr1	159851	159852	33	0.5545	inconsistent-DMR
chr1	159901	159902	32	0.6489	inconsistent-DMR
chr1	159932	159933	26	0.6828	inconsistent-DMR
chr1	159982	159983	30	0.8812	inconsistent-DMR
chr1	159984	159985	34	0.8218	inconsistent-DMR
chr1	160064	160065	29	0.9082	inconsistent-DMR
chr1	160164	160165	32	0.5792	inconsistent-DMR
chr1	160264	160265	20	0.6208	inconsistent-DMR
chr1	160364	160365	26	0.4877	inconsistent-DMR
chr1	160420	160421	24	0.8456	inconsistent-DMR
chr1	160498	160499	30	0.4426	inconsistent-DMR
chr1	160548	160549	29	0.4335	inconsistent-DMR
chr1	160609	160610	20	0.6062	flank-DMR
