chr	start	end	coverage	methylation_level	type
chr1	205333	205334	30	0.8622	sub-DMR
chr1	205383	205384	28	0.7759	sub-DMR
chr1	205418	205419	31	0.7137	sub-DMR
chr1	205468	205469	28	0.8679	sub-DMR
chr1	205492	205493	29	0.6604	sub-DMR
chr1	205529	205530	26	0.7772	sub-DMR
chr1	205549	205550	29	0.5429	sub-DMR
chr1	205597	205598	33	0.504	sub-DMR
chr1	205633	205634	28	0.5866	sub-DMR
chr1	205650	205651	31	0.5483	sub-DMR
chr1	205669	205670	31	0.5931	sub-DMR
chr1	205687	205688	30	0.8843	sub-DMR
chr1	205727	205728	36	0.8981	sub-DMR
chr1	205745	205746	34	0.8314	sub-DMR
chr1	205845	205846	23	0.7855	sub-DMR
chr1	205945	205946	37	1.0	sub-DMR
chr1	206045	206046	34	0.8295	sub-DMR
chr1	206145	206146	35	0.7798	sub-DMR
chr1	206207	206208	26	0.9857	flank-DMR
chr1	206303	206304	25	0.9387	flank-DMR
chr1	206375	206376	36	0.8403	flank-DMR
chr1	206387	206388	36	0.8798	flank-DMR
chr1	206397	206398	40	0.8653	flank-DMR
chr1	206465	206466	24	0.9815	flank-DMR
chr1	206539	206540	37	0.907	flank-DMR
chr1	206609	206610	25	0.8204	flank-DMR
