chr	start	end	coverage	methylation_level	type
chr1	169734	169735	32	0.5525	good-DMR
chr1	169777	169778	16	0.8184	good-DMR
chr1	169799	169800	24	0.7207	good-DMR
chr1	169849	169850	34	0.6816	good-DMR
chr1	169887	169888	39	0.726	good-DMR
chr1	169920	169921	25	0.6357	good-DMR
chr1	169945	169946	33	0.6337	good-DMR
chr1	169978	169979	35	0.6048	good-DMR
chr1	170028	170029	19	0.6468	good-DMR
chr1	170043	170044	24	0.6918	good-DMR
chr1	170060	170061	31	0.6574	good-DMR
chr1	170110	170111	36	0.6542	good-DMR
chr1	170125	170126	31	0.5765	good-DMR
chr1	170139	170140	34	0.6219	good-DMR
chr1	170239	170240	28	0.7439	good-DMR
chr1	170339	170340	29	0.5905	good-DMR
chr1	170404	170405	19	0.642	good-DMR
chr1	170504	170505	26	0.4743	good-DMR
chr1	170614	170615	29	0.9292	flank-DMR
chr1	170658	170659	27	1.0	flank-DMR
chr1	170766	170767	39	0.9658	flank-DMR
chr1	170778	170779	31	0.8362	flank-DMR
chr1	170830	170831	26	0.8135	flank-DMR
chr1	170928	170929	25	0.8328	flank-DMR
chr1	170930	170931	28	0.7072	flank-DMR
chr1	170984	170985	28	0.9496	flank-DMR
