chr	start	end	coverage	methylation_level	type
chr1	153112	153113	30	0.0337	non-DMR
chr1	153139	153140	33	0.2197	non-DMR
chr1	153162	153163	26	0.0517	non-DMR
chr1	153208	153209	36	0.0753	non-DMR
chr1	153240	153241	25	0.0814	non-DMR
chr1	153256	153257	30	0.0575	non-DMR
chr1	153289	153290	26	0.1425	non-DMR
chr1	153313	153314	24	0.0	non-DMR
chr1	153337	153338	26	0.0	non-DMR
chr1	153379	153380	31	0.1577	non-DMR
chr1	153405	153406	22	0.1083	non-DMR
chr1	153437	153438	30	0.0	non-DMR
chr1	153478	153479	28	0.2655	non-DMR
chr1	153508	153509	19	0.1753	non-DMR
chr1	153523	153524	32	0.0	non-DMR
chr1	153573	153574	32	0.0993	non-DMR
chr1	153588	153589	29	0.0364	non-DMR
chr1	153602	153603	28	0.052	non-DMR
chr1	153681	153682	32	0.053	non-DMR
chr1	153778	153779	29	0.155	non-DMR
chr1	153828	153829	23	0.1233	non-DMR
chr1	153928	153929	27	0.055	non-DMR
chr1	154028	154029	29	0.0316	non-DMR
chr1	154058	154059	30	0.0741	flank-DMR
