chr	start	end	coverage	methylation_level	type
chr1	165563	165564	38	0.5617	non-DMR
chr1	165612	165613	27	0.7026	non-DMR
chr1	165653	165654	35	0.7195	non-DMR
chr1	165703	165704	35	0.699	non-DMR
chr1	165729	165730	20	0.809	non-DMR
chr1	165770	165771	31	0.6177	non-DMR
chr1	165820	165821	31	0.6389	non-DMR
chr1	165844	165845	33	0.5083	non-DMR
chr1	165884	165885	39	0.6075	non-DMR
chr1	165934	165935	39	0.6592	non-DMR
chr1	165972	165973	18	0.5655	non-DMR
chr1	165988	165989	34	0.5091	non-DMR
chr1	166034	166035	23	0.5732	non-DMR
chr1	166066	166067	22	0.5879	non-DMR
chr1	166116	166117	28	0.5601	non-DMR
chr1	166216	166217	31	0.5203	non-DMR
chr1	166316	166317	28	0.5718	non-DMR
chr1	166416	166417	32	0.5609	non-DMR
chr1	166504	166505	28	0.6303	non-DMR
chr1	166536	166537	32	0.7676	flank-DMR
chr1	166598	166599	31	0.604	flank-DMR
