chr	start	end	coverage	methylation_level	type
chr1	122089	122090	32	0.0801	non-DMR
chr1	122134	122135	27	0.1995	non-DMR
chr1	122185	122186	34	0.2538	non-DMR
chr1	122203	122204	26	0.1982	non-DMR
chr1	122229	122230	37	0.3272	non-DMR
chr1	122253	122254	30	0.0973	non-DMR
chr1	122282	122283	24	0.2251	non-DMR
chr1	122332	122333	24	0.2348	non-DMR
chr1	122382	122383	25	0.2273	non-DMR
chr1	122410	122411	28	0.1182	non-DMR
chr1	122437	122438	25	0.1914	non-DMR
chr1	122458	122459	28	0.2071	non-DMR
chr1	122476	122477	28	0.3879	non-DMR
chr1	122504	122505	34	0.042	non-DMR
chr1	122531	122532	20	0.121	non-DMR
chr1	122581	122582	24	0.1676	non-DMR
chr1	122681	122682	33	0.1485	non-DMR
chr1	122781	122782	35	0.1973	non-DMR
chr1	122831	122832	28	0.1583	non-DMR
chr1	122931	122932	26	0.2273	non-DMR
chr1	122965	122966	35	0.1942	flank-DMR
chr1	122967	122968	31	0.0417	flank-DMR
