chr	start	end	coverage	methylation_level	type
chr1	202332	202333	28	0.787	non-DMR
chr1	202370	202371	27	0.7019	non-DMR
chr1	202390	202391	33	0.7297	non-DMR
chr1	202410	202411	30	0.845	non-DMR
chr1	202443	202444	24	0.6908	non-DMR
chr1	202458	202459	29	0.8004	non-DMR
chr1	202495	202496	33	0.9755	non-DMR
chr1	202516	202517	22	0.7831	non-DMR
chr1	202560	202561	31	0.8278	non-DMR
chr1	202581	202582	34	0.6955	non-DMR
chr1	202631	202632	32	0.9142	non-DMR
chr1	202681	202682	29	0.731	non-DMR
chr1	202706	202707	23	0.602	non-DMR
chr1	202733	202734	35	0.63	non-DMR
chr1	202756	202757	19	0.8572	non-DMR
chr1	202795	202796	31	0.6559	non-DMR
chr1	202845	202846	23	0.668	non-DMR
chr1	202850	202851	24	0.846	non-DMR
chr1	202900	202901	31	0.7988	non-DMR
chr1	203000	203001	30	0.67	non-DMR
chr1	203100	203101	26	0.8722	non-DMR
chr1	203190	203191	32	0.8734	non-DMR
chr1	203290	203291	27	0.7077	non-DMR
chr1	203308	203309	32	0.7416	flank-DMR
chr1	203384	203385	33	0.8451	flank-DMR
