chr	start	end	coverage	methylation_level	type
chr1	117750	117751	37	0.7548	good-DMR
chr1	117765	117766	28	0.7966	good-DMR
chr1	117809	117810	27	0.6418	good-DMR
chr1	117846	117847	28	0.6771	good-DMR
chr1	117891	117892	28	0.7486	good-DMR
chr1	117932	117933	34	0.7735	good-DMR
chr1	117965	117966	30	0.8805	good-DMR
chr1	118009	118010	33	0.9888	good-DMR
chr1	118033	118034	34	0.8688	good-DMR
chr1	118073	118074	35	0.8377	good-DMR
chr1	118096	118097	33	0.8203	good-DMR
chr1	118137	118138	27	0.6363	good-DMR
chr1	118164	118165	22	0.8492	good-DMR
chr1	118202	118203	35	0.699	good-DMR
chr1	118209	118210	26	0.794	good-DMR
chr1	118294	118295	33	0.7735	good-DMR
chr1	118381	118382	32	0.8094	good-DMR
chr1	118431	118432	22	0.8296	good-DMR
chr1	118531	118532	40	0.858	good-DMR
chr1	118631	118632	24	0.779	good-DMR
chr1	118633	118634	34	0.8254	flank-DMR
chr1	118717	118718	37	0.84	flank-DMR
chr1	118803	118804	20	0.8135	flank-DMR
chr1	118807	118808	22	0.8537	flank-DMR
chr1	119041	119042	33	0.801	flank-DMR
