chr	start	end	coverage	methylation_level	type
chr1	183082	183083	34	0.7396	good-DMR
chr1	183125	183126	38	0.8032	good-DMR
chr1	183140	183141	35	0.8988	good-DMR
chr1	183183	183184	22	0.8588	good-DMR
chr1	183229	183230	31	0.8699	good-DMR
chr1	183273	183274	35	0.8762	good-DMR
chr1	183291	183292	30	0.7466	good-DMR
chr1	183316	183317	28	0.9065	good-DMR
chr1	183351	183352	29	0.8912	good-DMR
chr1	183380	183381	32	0.8276	good-DMR
chr1	183403	183404	29	0.7523	good-DMR
chr1	183428	183429	28	0.7849	good-DMR
chr1	183455	183456	26	0.7321	good-DMR
chr1	183505	183506	23	0.8192	good-DMR
chr1	183526	183527	36	0.8582	good-DMR
chr1	183548	183549	26	0.9221	good-DMR
chr1	183598	183599	34	0.8854	good-DMR
chr1	183625	183626	20	0.91	good-DMR
chr1	183635	183636	16	0.9061	good-DMR
chr1	183735	183736	32	0.9187	good-DMR
chr1	183788	183789	27	0.82	good-DMR
chr1	183888	183889	23	0.8165	good-DMR
chr1	183988	183989	30	0.9073	good-DMR
chr1	184052	184053	27	0.6848	good-DMR
chr1	184152	184153	26	0.8444	good-DMR
chr1	184168	184169	23	0.8306	flank-DMR
chr1	184228	184229	30	0.9128	flank-DMR
chr1	184248	184249	33	0.907	flank-DMR
chr1	184258	184259	45	0.9229	flank-DMR
chr1	184266	184267	34	0.6467	flank-DMR
chr1	184306	184307	39	0.7373	flank-DMR
chr1	184350	184351	28	0.7661	flank-DMR
chr1	184358	184359	28	0.8703	flank-DMR
chr1	184446	184447	38	0.7402	flank-DMR
chr1	184488	184489	35	0.916	flank-DMR
