chr	start	end	coverage	methylation_level	type
chr1	144773	144774	36	0.9021	sub-DMR
chr1	144802	144803	27	0.7428	sub-DMR
chr1	144827	144828	40	0.8607	sub-DMR
chr1	144877	144878	36	0.8215	sub-DMR
chr1	144894	144895	30	0.8408	sub-DMR
chr1	144944	144945	23	0.7691	sub-DMR
chr1	144994	144995	36	0.6036	sub-DMR
chr1	145012	145013	29	1.0	sub-DMR
chr1	145027	145028	32	0.7619	sub-DMR
chr1	145062	145063	32	0.911	sub-DMR
chr1	145093	145094	27	0.8923	sub-DMR
chr1	145143	145144	24	0.9886	sub-DMR
chr1	145160	145161	25	0.6226	sub-DMR
chr1	145194	145195	35	0.6602	sub-DMR
chr1	145231	145232	26	0.6561	sub-DMR
chr1	145263	145264	24	0.7228	sub-DMR
chr1	145288	145289	31	0.8101	sub-DMR
chr1	145302	145303	26	0.6478	sub-DMR
chr1	145402	145403	34	0.6603	sub-DMR
chr1	145452	145453	28	0.565	sub-DMR
chr1	145552	145553	24	0.8079	sub-DMR
chr1	145626	145627	29	0.6015	sub-DMR
chr1	145676	145677	32	0.8029	sub-DMR
chr1	145728	145729	35	0.8261	sub-DMR
chr1	145820	145821	20	0.8331	sub-DMR
chr1	145930	145931	20	0.7986	flank-DMR
chr1	145976	145977	34	0.9159	flank-DMR
chr1	146104	146105	36	0.7647	flank-DMR
chr1	146164	146165	36	0.9545	flank-DMR
chr1	146210	146211	25	0.8944	flank-DMR
chr1	146264	146265	29	0.9372	flank-DMR
