chr	start	end	coverage	methylation_level	type
chr1	148399	148400	33	1.0	notable-DMR
chr1	148435	148436	19	0.4734	notable-DMR
chr1	148478	148479	29	1.0	notable-DMR
chr1	148520	148521	29	0.5537	notable-DMR
chr1	148552	148553	28	0.7807	notable-DMR
chr1	148567	148568	27	1.0	notable-DMR
chr1	148617	148618	31	0.61	notable-DMR
chr1	148666	148667	26	0.9643	notable-DMR
chr1	148700	148701	18	0.6156	notable-DMR
chr1	148727	148728	33	0.199	notable-DMR
chr1	148749	148750	31	0.8904	notable-DMR
chr1	148793	148794	28	0.7681	notable-DMR
chr1	148808	148809	29	0.355	notable-DMR
chr1	148844	148845	38	0.7142	notable-DMR
chr1	148855	148856	29	0.7053	notable-DMR
chr1	148905	148906	34	0.303	notable-DMR
chr1	149005	149006	29	0.348	notable-DMR
chr1	149105	149106	33	0.9793	notable-DMR
chr1	149205	149206	28	0.8182	notable-DMR
chr1	149305	149306	32	1.0	notable-DMR
chr1	149361	149362	32	0.558	flank-DMR
chr1	149391	149392	26	0.8995	flank-DMR
