chr	start	end	coverage	methylation_level	type
chr1	101386	101387	30	0.3295	good-DMR
chr1	101425	101426	35	0.3567	good-DMR
chr1	101464	101465	29	0.4849	good-DMR
chr1	101481	101482	36	0.3909	good-DMR
chr1	101529	101530	30	0.4364	good-DMR
chr1	101544	101545	24	0.4857	good-DMR
chr1	101594	101595	26	0.3617	good-DMR
chr1	101610	101611	30	0.3295	good-DMR
chr1	101637	101638	29	0.3793	good-DMR
chr1	101687	101688	30	0.2662	good-DMR
chr1	101719	101720	25	0.3238	good-DMR
chr1	101764	101765	23	0.34	good-DMR
chr1	101805	101806	37	0.4309	good-DMR
chr1	101808	101809	28	0.5445	good-DMR
chr1	101908	101909	30	0.2981	good-DMR
chr1	101984	101985	26	0.4139	good-DMR
chr1	102084	102085	28	0.3435	good-DMR
chr1	102134	102135	30	0.2822	good-DMR
chr1	102188	102189	32	0.2785	flank-DMR
chr1	102314	102315	34	0.0028	flank-DMR
chr1	102356	102357	17	0.2007	flank-DMR
chr1	102456	102457	23	0.0988	flank-DMR
chr1	102472	102473	24	0.0909	flank-DMR
chr1	102478	102479	32	0.076	flank-DMR
chr1	102498	102499	27	0.1714	flank-DMR
chr1	102504	102505	27	0.1926	flank-DMR
chr1	102620	102621	22	0.1702	flank-DMR
