chr	start	end	coverage	methylation_level	type
chr1	172020	172021	26	0.767	sub-DMR
chr1	172070	172071	32	0.7436	sub-DMR
chr1	172110	172111	24	0.562	sub-DMR
chr1	172129	172130	37	0.7082	sub-DMR
chr1	172144	172145	33	0.6165	sub-DMR
chr1	172194	172195	25	0.8443	sub-DMR
chr1	172221	172222	33	0.8533	sub-DMR
chr1	172254	172255	25	0.8721	sub-DMR
chr1	172286	172287	32	0.882	sub-DMR
chr1	172326	172327	25	0.8229	sub-DMR
chr1	172341	172342	25	0.5733	sub-DMR
chr1	172376	172377	38	0.8139	sub-DMR
chr1	172397	172398	31	0.9102	sub-DMR
chr1	172423	172424	23	0.8258	sub-DMR
chr1	172446	172447	34	0.7386	sub-DMR
chr1	172466	172467	37	0.6097	sub-DMR
chr1	172481	172482	30	0.7787	sub-DMR
chr1	172503	172504	15	0.7437	sub-DMR
chr1	172540	172541	25	0.7572	sub-DMR
chr1	172573	172574	26	0.5955	sub-DMR
chr1	172673	172674	28	0.8881	sub-DMR
chr1	172723	172724	33	0.7635	sub-DMR
chr1	172823	172824	22	0.6904	sub-DMR
chr1	172923	172924	26	0.8381	sub-DMR
chr1	172975	172976	28	0.8067	sub-DMR
chr1	173025	173026	24	0.7777	sub-DMR
chr1	173125	173126	24	0.6551	sub-DMR
chr1	173195	173196	35	0.6692	flank-DMR
chr1	173267	173268	28	0.7368	flank-DMR
chr1	173289	173290	26	0.8911	flank-DMR
chr1	173299	173300	30	0.656	flank-DMR
chr1	173357	173358	34	0.7838	flank-DMR
chr1	173491	173492	36	0.6352	flank-DMR
chr1	173529	173530	25	0.6605	flank-DMR
chr1	173569	173570	35	0.6628	flank-DMR
chr1	173599	173600	29	0.7264	flank-DMR
