chr	start	end	coverage	methylation_level	type
chr1	134622	134623	33	0.0341	sub-DMR
chr1	134637	134638	29	0.1707	sub-DMR
chr1	134672	134673	30	0.0	sub-DMR
chr1	134687	134688	30	0.0674	sub-DMR
chr1	134702	134703	31	0.0435	sub-DMR
chr1	134719	134720	30	0.0774	sub-DMR
chr1	134750	134751	23	0.1721	sub-DMR
chr1	134783	134784	30	0.0346	sub-DMR
chr1	134833	134834	22	0.0762	sub-DMR
chr1	134849	134850	28	0.1339	sub-DMR
chr1	134870	134871	40	0.1833	sub-DMR
chr1	134920	134921	35	0.2511	sub-DMR
chr1	134959	134960	31	0.2464	sub-DMR
chr1	134994	134995	24	0.2785	sub-DMR
chr1	135023	135024	37	0.3033	sub-DMR
chr1	135060	135061	43	0.2814	sub-DMR
chr1	135090	135091	31	0.4283	sub-DMR
chr1	135122	135123	30	0.3314	sub-DMR
chr1	135160	135161	27	0.4384	sub-DMR
chr1	135169	135170	27	0.2356	sub-DMR
chr1	135269	135270	21	0.0873	sub-DMR
chr1	135319	135320	18	0.0259	sub-DMR
chr1	135419	135420	19	0.1421	sub-DMR
chr1	135493	135494	27	0.0	sub-DMR
chr1	135593	135594	30	0.1573	sub-DMR
chr1	135643	135644	26	0.1697	sub-DMR
chr1	135793	135794	32	0.0137	flank-DMR
chr1	135809	135810	32	0.1295	flank-DMR
chr1	135819	135820	23	0.136	flank-DMR
chr1	135973	135974	30	0.0	flank-DMR
chr1	136047	136048	31	0.2244	flank-DMR
