chr	start	end	coverage	methylation_level	type
chr1	134622	134623	24	0.0	sub-DMR
chr1	134637	134638	35	0.1177	sub-DMR
chr1	134672	134673	36	0.0101	sub-DMR
chr1	134687	134688	31	0.0409	sub-DMR
chr1	134702	134703	29	0.0098	sub-DMR
chr1	134719	134720	33	0.1465	sub-DMR
chr1	134750	134751	31	0.0449	sub-DMR
chr1	134783	134784	26	0.0977	sub-DMR
chr1	134833	134834	17	0.0	sub-DMR
chr1	134849	134850	31	0.0823	sub-DMR
chr1	134870	134871	29	0.0	sub-DMR
chr1	134920	134921	37	0.0915	sub-DMR
chr1	134959	134960	29	0.1229	sub-DMR
chr1	134994	134995	36	0.0373	sub-DMR
chr1	135023	135024	28	0.0407	sub-DMR
chr1	135060	135061	36	0.1033	sub-DMR
chr1	135090	135091	25	0.0907	sub-DMR
chr1	135122	135123	25	0.0854	sub-DMR
chr1	135160	135161	28	0.2158	sub-DMR
chr1	135169	135170	23	0.0196	sub-DMR
chr1	135269	135270	32	0.0	sub-DMR
chr1	135319	135320	38	0.0685	sub-DMR
chr1	135419	135420	36	0.0974	sub-DMR
chr1	135493	135494	20	0.0822	sub-DMR
chr1	135593	135594	33	0.1042	sub-DMR
chr1	135643	135644	27	0.1151	sub-DMR
chr1	135793	135794	22	0.146	flank-DMR
chr1	135809	135810	26	0.1102	flank-DMR
chr1	135819	135820	30	0.0323	flank-DMR
chr1	135973	135974	21	0.1125	flank-DMR
chr1	136047	136048	29	0.114	flank-DMR
