chr	start	end	coverage	methylation_level	type
chr1	110716	110717	26	0.7858	non-DMR
chr1	110741	110742	34	0.6986	non-DMR
chr1	110768	110769	25	0.9575	non-DMR
chr1	110788	110789	14	0.8246	non-DMR
chr1	110810	110811	37	0.7915	non-DMR
chr1	110860	110861	33	0.8066	non-DMR
chr1	110908	110909	25	0.7057	non-DMR
chr1	110923	110924	38	0.7118	non-DMR
chr1	110973	110974	20	0.9239	non-DMR
chr1	111023	111024	29	0.7591	non-DMR
chr1	111049	111050	18	0.5486	non-DMR
chr1	111084	111085	31	0.7828	non-DMR
chr1	111114	111115	27	0.8035	non-DMR
chr1	111164	111165	26	0.7747	non-DMR
chr1	111184	111185	27	0.7413	non-DMR
chr1	111216	111217	20	0.7436	non-DMR
chr1	111240	111241	35	0.7171	non-DMR
chr1	111255	111256	30	0.8935	non-DMR
chr1	111305	111306	30	0.716	non-DMR
chr1	111318	111319	36	0.7354	non-DMR
chr1	111418	111419	23	0.7548	non-DMR
chr1	111468	111469	31	0.8603	non-DMR
chr1	111547	111548	33	0.7787	non-DMR
chr1	111647	111648	26	0.9269	non-DMR
chr1	111708	111709	39	0.8312	non-DMR
chr1	111808	111809	29	0.818	non-DMR
chr1	111893	111894	30	0.7391	non-DMR
chr1	111931	111932	30	0.765	flank-DMR
chr1	111971	111972	21	1.0	flank-DMR
