chr	start	end	coverage	methylation_level	type
chr1	200756	200757	32	0.443	good-DMR
chr1	200771	200772	26	0.5077	good-DMR
chr1	200787	200788	29	0.4012	good-DMR
chr1	200837	200838	32	0.669	good-DMR
chr1	200871	200872	29	0.6419	good-DMR
chr1	200921	200922	27	0.5142	good-DMR
chr1	200971	200972	33	0.5604	good-DMR
chr1	200994	200995	26	0.6103	good-DMR
chr1	201011	201012	21	0.5604	good-DMR
chr1	201061	201062	38	0.6535	good-DMR
chr1	201092	201093	39	0.4088	good-DMR
chr1	201127	201128	31	0.6812	good-DMR
chr1	201156	201157	37	0.3755	good-DMR
chr1	201204	201205	28	0.565	good-DMR
chr1	201247	201248	29	0.4668	good-DMR
chr1	201268	201269	35	0.4596	good-DMR
chr1	201279	201280	32	0.292	good-DMR
chr1	201329	201330	35	0.4436	good-DMR
chr1	201429	201430	26	0.5087	good-DMR
chr1	201529	201530	26	0.6436	good-DMR
chr1	201629	201630	23	0.5038	good-DMR
chr1	201721	201722	40	0.6036	good-DMR
chr1	201798	201799	23	0.6409	good-DMR
chr1	201842	201843	32	0.9368	flank-DMR
chr1	201874	201875	22	0.684	flank-DMR
chr1	201878	201879	39	0.6136	flank-DMR
chr1	201898	201899	29	0.9796	flank-DMR
chr1	201940	201941	21	0.7132	flank-DMR
chr1	202078	202079	32	0.8447	flank-DMR
chr1	202138	202139	34	0.8594	flank-DMR
chr1	202232	202233	31	0.7171	flank-DMR
chr1	202276	202277	29	0.777	flank-DMR
chr1	202294	202295	30	0.6844	flank-DMR
