chr	start	end	coverage	methylation_level	type
chr1	158433	158434	35	0.788	inconsistent-DMR
chr1	158448	158449	27	0.6663	inconsistent-DMR
chr1	158464	158465	36	0.5919	inconsistent-DMR
chr1	158489	158490	28	0.8276	inconsistent-DMR
chr1	158539	158540	20	0.7343	inconsistent-DMR
chr1	158570	158571	30	0.6351	inconsistent-DMR
chr1	158611	158612	22	0.7825	inconsistent-DMR
chr1	158640	158641	31	0.5811	inconsistent-DMR
chr1	158661	158662	32	0.5525	inconsistent-DMR
chr1	158686	158687	32	0.8449	inconsistent-DMR
chr1	158707	158708	36	0.6544	inconsistent-DMR
chr1	158724	158725	35	0.6842	inconsistent-DMR
chr1	158767	158768	34	0.7387	inconsistent-DMR
chr1	158793	158794	29	0.9655	inconsistent-DMR
chr1	158812	158813	32	0.6323	inconsistent-DMR
chr1	158845	158846	32	0.8098	inconsistent-DMR
chr1	158886	158887	36	0.8598	inconsistent-DMR
chr1	158946	158947	26	0.892	inconsistent-DMR
chr1	159046	159047	39	0.5036	inconsistent-DMR
chr1	159146	159147	24	0.6879	inconsistent-DMR
chr1	159246	159247	32	0.7208	inconsistent-DMR
chr1	159393	159394	31	0.6363	flank-DMR
chr1	159405	159406	28	0.832	flank-DMR
