chr	start	end	coverage	methylation_level	type
chr1	194453	194454	37	0.6211	good-DMR
chr1	194494	194495	16	0.5163	good-DMR
chr1	194522	194523	34	0.5942	good-DMR
chr1	194549	194550	26	0.7165	good-DMR
chr1	194593	194594	31	0.6863	good-DMR
chr1	194643	194644	31	0.679	good-DMR
chr1	194684	194685	21	0.6776	good-DMR
chr1	194716	194717	28	0.5024	good-DMR
chr1	194731	194732	33	0.4874	good-DMR
chr1	194761	194762	30	0.6466	good-DMR
chr1	194780	194781	25	0.6181	good-DMR
chr1	194815	194816	26	0.7104	good-DMR
chr1	194839	194840	30	0.5609	good-DMR
chr1	194889	194890	30	0.5413	good-DMR
chr1	194939	194940	33	0.7635	good-DMR
chr1	194980	194981	35	0.6084	good-DMR
chr1	194991	194992	30	0.7006	good-DMR
chr1	195052	195053	27	0.6323	good-DMR
chr1	195152	195153	31	0.471	good-DMR
chr1	195244	195245	39	0.6727	good-DMR
chr1	195344	195345	32	0.6116	good-DMR
chr1	195394	195395	31	0.5289	good-DMR
chr1	195444	195445	33	0.6469	good-DMR
chr1	195528	195529	24	0.6544	good-DMR
chr1	195554	195555	21	0.891	flank-DMR
chr1	195562	195563	24	0.853	flank-DMR
chr1	195606	195607	22	0.7654	flank-DMR
chr1	195714	195715	39	0.8117	flank-DMR
chr1	195716	195717	28	0.7537	flank-DMR
chr1	195790	195791	31	0.9796	flank-DMR
chr1	195852	195853	28	0.8795	flank-DMR
chr1	195906	195907	32	0.8592	flank-DMR
chr1	195924	195925	30	0.9884	flank-DMR
chr1	195952	195953	28	0.5811	flank-DMR
