chr	start	end	coverage	methylation_level	type
chr1	150457	150458	31	0.7384	good-DMR
chr1	150481	150482	34	0.7021	good-DMR
chr1	150521	150522	31	0.8159	good-DMR
chr1	150550	150551	29	0.8915	good-DMR
chr1	150600	150601	27	0.7252	good-DMR
chr1	150615	150616	26	0.8116	good-DMR
chr1	150631	150632	32	0.8654	good-DMR
chr1	150665	150666	41	0.7634	good-DMR
chr1	150680	150681	25	0.6469	good-DMR
chr1	150695	150696	36	0.9004	good-DMR
chr1	150710	150711	31	0.6887	good-DMR
chr1	150741	150742	33	0.5916	good-DMR
chr1	150764	150765	31	0.7141	good-DMR
chr1	150779	150780	28	0.5367	good-DMR
chr1	150811	150812	33	0.6194	good-DMR
chr1	150855	150856	21	0.7175	good-DMR
chr1	150870	150871	30	0.6615	good-DMR
chr1	150898	150899	31	0.7374	good-DMR
chr1	150931	150932	38	0.8258	good-DMR
chr1	150971	150972	25	0.6717	good-DMR
chr1	150986	150987	33	0.6605	good-DMR
chr1	151004	151005	24	0.7477	good-DMR
chr1	151032	151033	28	0.7715	good-DMR
chr1	151061	151062	29	0.9198	good-DMR
chr1	151099	151100	37	0.8261	good-DMR
chr1	151199	151200	35	0.8161	good-DMR
chr1	151276	151277	30	0.6483	good-DMR
chr1	151356	151357	33	0.7696	good-DMR
chr1	151439	151440	28	0.9007	good-DMR
chr1	151489	151490	23	0.7911	good-DMR
chr1	151572	151573	23	0.7415	good-DMR
chr1	151672	151673	30	0.7091	good-DMR
chr1	151722	151723	33	0.8097	good-DMR
chr1	151734	151735	33	0.7868	flank-DMR
chr1	151814	151815	36	0.9068	flank-DMR
chr1	151874	151875	29	0.7012	flank-DMR
chr1	151900	151901	36	0.7217	flank-DMR
chr1	151922	151923	32	0.8003	flank-DMR
chr1	151942	151943	29	0.6274	flank-DMR
chr1	151950	151951	25	0.7331	flank-DMR
chr1	151962	151963	31	0.6852	flank-DMR
chr1	152104	152105	18	0.847	flank-DMR
chr1	152124	152125	34	0.7163	flank-DMR
