chr	start	end	coverage	methylation_level
chr1	216962	216963	35	0.7082
chr1	216998	216999	33	0.7378
chr1	217018	217019	34	0.4737
chr1	217098	217099	35	0.6043
chr1	217145	217146	32	0.6244
chr1	217246	217247	19	0.4146
chr1	217271	217272	34	0.592
chr1	217321	217322	33	0.5417
chr1	217330	217331	35	0.5157
chr1	217344	217345	32	0.6128
chr1	217354	217355	42	0.643
chr1	217371	217372	34	0.7362
chr1	217404	217405	40	0.5686
chr1	217407	217408	32	0.4849
chr1	217432	217433	36	0.4091
chr1	217469	217470	32	0.455
chr1	217507	217508	37	0.6983
chr1	217532	217533	28	0.3598
chr1	217563	217564	36	0.3824
chr1	217600	217601	29	0.6565
chr1	217610	217611	24	0.4609
chr1	217651	217652	26	0.6093
chr1	217664	217665	35	0.626
chr1	217712	217713	30	0.7208
chr1	217759	217760	33	0.6327
chr1	217807	217808	24	0.5152
chr1	217874	217875	23	0.3405
chr1	217930	217931	27	0.5773
chr1	217968	217969	32	0.6015
chr1	217974	217975	30	0.6029
chr1	217984	217985	24	0.5713
chr1	218006	218007	28	0.6037
chr1	218018	218019	30	0.4021
chr1	218020	218021	39	0.6699
