chr	start	end	coverage	methylation_level
chr1	216962	216963	27	0.9536
chr1	216998	216999	27	0.93
chr1	217018	217019	25	0.8799
chr1	217039	217040	18	0.7615
chr1	217051	217052	25	0.994
chr1	217145	217146	35	0.8414
chr1	217191	217192	27	0.8118
chr1	217233	217234	31	0.757
chr1	217246	217247	18	0.8581
chr1	217271	217272	29	0.7974
chr1	217321	217322	27	0.681
chr1	217330	217331	24	0.888
chr1	217344	217345	29	0.8225
chr1	217354	217355	29	0.9411
chr1	217404	217405	36	0.9533
chr1	217407	217408	29	0.9315
chr1	217432	217433	36	0.8464
chr1	217469	217470	31	0.8835
chr1	217507	217508	34	0.7101
chr1	217532	217533	34	0.9096
chr1	217563	217564	30	0.9703
chr1	217600	217601	35	0.8508
chr1	217610	217611	26	0.9088
chr1	217651	217652	30	0.9018
chr1	217658	217659	27	0.8732
chr1	217664	217665	25	0.8207
chr1	217685	217686	31	0.7806
chr1	217712	217713	37	0.7728
chr1	217759	217760	34	0.8846
chr1	217807	217808	30	0.87
chr1	217839	217840	34	0.8863
chr1	217874	217875	28	0.8793
chr1	217930	217931	30	0.791
chr1	217974	217975	28	0.9113
chr1	217984	217985	36	0.8702
chr1	218006	218007	23	0.7091
chr1	218018	218019	30	0.6828
chr1	218020	218021	25	0.9058
