chr	start	end	coverage	methylation_level
chr1	216962	216963	28	0.6936
chr1	216998	216999	32	0.7088
chr1	217018	217019	35	0.3882
chr1	217039	217040	20	0.6478
chr1	217051	217052	33	0.5805
chr1	217098	217099	30	0.6158
chr1	217145	217146	28	0.6967
chr1	217191	217192	38	0.5814
chr1	217233	217234	24	0.5599
chr1	217246	217247	24	0.4897
chr1	217271	217272	31	0.5538
chr1	217321	217322	12	0.5851
chr1	217330	217331	27	0.4322
chr1	217344	217345	34	0.5908
chr1	217354	217355	30	0.647
chr1	217371	217372	28	0.7103
chr1	217404	217405	16	0.6053
chr1	217407	217408	32	0.4969
chr1	217432	217433	29	0.4638
chr1	217469	217470	31	0.4447
chr1	217507	217508	29	0.6555
chr1	217532	217533	19	0.3939
chr1	217563	217564	19	0.3964
chr1	217600	217601	31	0.6711
chr1	217610	217611	28	0.4
chr1	217651	217652	37	0.5488
chr1	217658	217659	20	0.6178
chr1	217664	217665	28	0.5692
chr1	217712	217713	27	0.6736
chr1	217759	217760	35	0.5536
chr1	217807	217808	24	0.5031
chr1	217874	217875	30	0.3727
chr1	217902	217903	35	0.6676
chr1	217930	217931	30	0.623
chr1	217968	217969	33	0.5687
chr1	217974	217975	28	0.6664
chr1	217984	217985	29	0.6436
chr1	218006	218007	25	0.6246
chr1	218018	218019	36	0.3842
chr1	218020	218021	31	0.6718
