chr	start	end	coverage	methylation_level
chr1	216962	216963	22	0.874
chr1	216998	216999	28	0.8901
chr1	217018	217019	30	0.877
chr1	217039	217040	34	0.8321
chr1	217051	217052	28	0.9964
chr1	217098	217099	36	0.9473
chr1	217145	217146	28	0.7834
chr1	217191	217192	28	0.8036
chr1	217233	217234	21	0.7378
chr1	217246	217247	31	0.8704
chr1	217271	217272	28	0.8789
chr1	217305	217306	30	0.7006
chr1	217321	217322	36	0.8163
chr1	217330	217331	27	0.9907
chr1	217344	217345	31	0.8398
chr1	217354	217355	28	0.9088
chr1	217371	217372	38	0.8027
chr1	217404	217405	32	0.9058
chr1	217407	217408	29	0.9553
chr1	217432	217433	31	0.8906
chr1	217469	217470	27	0.8208
chr1	217507	217508	19	0.6599
chr1	217563	217564	31	0.8516
chr1	217600	217601	23	0.8654
chr1	217610	217611	30	0.8047
chr1	217651	217652	33	0.8905
chr1	217664	217665	34	0.8633
chr1	217685	217686	31	0.8744
chr1	217712	217713	28	0.8113
chr1	217759	217760	24	0.9014
chr1	217807	217808	31	0.8736
chr1	217874	217875	29	0.9155
chr1	217902	217903	24	0.886
chr1	217930	217931	24	0.7813
chr1	217968	217969	25	0.8629
chr1	217974	217975	41	0.9307
chr1	217984	217985	32	0.9409
chr1	218006	218007	26	0.7446
chr1	218018	218019	33	0.7123
chr1	218020	218021	27	0.8432
