chr	start	end	coverage	methylation_level
chr1	216962	216963	26	0.8587
chr1	216998	216999	26	0.905
chr1	217018	217019	27	0.8176
chr1	217039	217040	24	0.8037
chr1	217051	217052	35	0.9755
chr1	217098	217099	24	0.9921
chr1	217145	217146	33	0.8244
chr1	217191	217192	31	0.7721
chr1	217233	217234	30	0.7265
chr1	217271	217272	33	0.8367
chr1	217305	217306	38	0.7829
chr1	217321	217322	28	0.7588
chr1	217330	217331	32	0.9935
chr1	217344	217345	26	0.8341
chr1	217354	217355	38	0.9314
chr1	217371	217372	29	0.8508
chr1	217404	217405	32	0.881
chr1	217407	217408	31	0.984
chr1	217432	217433	21	0.8746
chr1	217469	217470	29	0.835
chr1	217507	217508	32	0.6794
chr1	217532	217533	40	0.9331
chr1	217563	217564	30	0.9792
chr1	217600	217601	30	0.9125
chr1	217610	217611	22	0.8979
chr1	217651	217652	24	0.8727
chr1	217658	217659	31	0.8159
chr1	217664	217665	30	0.8203
chr1	217685	217686	28	0.8215
chr1	217712	217713	23	0.8734
chr1	217759	217760	32	0.8892
chr1	217807	217808	29	0.8856
chr1	217874	217875	23	0.9127
chr1	217930	217931	24	0.8002
chr1	217968	217969	25	0.8318
chr1	217974	217975	34	0.9002
chr1	217984	217985	38	0.8944
chr1	218006	218007	18	0.6873
chr1	218018	218019	28	0.7059
chr1	218020	218021	36	0.9142
