chr	start	end	coverage	methylation_level	type
chr1	129187	129188	23	0.3268	inconsistent-DMR
chr1	129205	129206	39	0.4291	inconsistent-DMR
chr1	129254	129255	27	0.7704	inconsistent-DMR
chr1	129271	129272	41	0.7244	inconsistent-DMR
chr1	129305	129306	27	0.7569	inconsistent-DMR
chr1	129325	129326	36	0.4483	inconsistent-DMR
chr1	129351	129352	30	0.4919	inconsistent-DMR
chr1	129366	129367	30	0.457	inconsistent-DMR
chr1	129394	129395	23	0.6379	inconsistent-DMR
chr1	129436	129437	39	0.824	inconsistent-DMR
chr1	129486	129487	27	0.6897	inconsistent-DMR
chr1	129515	129516	39	0.5248	inconsistent-DMR
chr1	129531	129532	27	0.8222	inconsistent-DMR
chr1	129576	129577	25	0.3096	inconsistent-DMR
chr1	129612	129613	29	0.3366	inconsistent-DMR
chr1	129640	129641	31	0.645	inconsistent-DMR
chr1	129663	129664	21	0.406	inconsistent-DMR
chr1	129671	129672	27	0.6326	inconsistent-DMR
chr1	129771	129772	29	0.5793	inconsistent-DMR
chr1	129871	129872	37	0.8187	inconsistent-DMR
chr1	129931	129932	29	0.8139	inconsistent-DMR
chr1	129998	129999	30	0.6299	inconsistent-DMR
chr1	130085	130086	32	0.382	inconsistent-DMR
chr1	130135	130136	25	0.5863	inconsistent-DMR
chr1	130233	130234	20	0.7243	flank-DMR
