chr	start	end	coverage	methylation_level	type
chr1	190853	190854	26	0.6791	non-DMR
chr1	190872	190873	22	0.6436	non-DMR
chr1	190917	190918	27	0.6385	non-DMR
chr1	190947	190948	32	0.5828	non-DMR
chr1	190983	190984	24	0.5485	non-DMR
chr1	191005	191006	25	0.7846	non-DMR
chr1	191046	191047	32	0.6882	non-DMR
chr1	191096	191097	32	0.6759	non-DMR
chr1	191128	191129	32	0.781	non-DMR
chr1	191145	191146	26	0.8076	non-DMR
chr1	191189	191190	27	0.7676	non-DMR
chr1	191215	191216	34	0.619	non-DMR
chr1	191260	191261	33	0.58	non-DMR
chr1	191275	191276	35	0.7519	non-DMR
chr1	191300	191301	24	0.7084	non-DMR
chr1	191316	191317	38	0.8016	non-DMR
chr1	191336	191337	35	0.7093	non-DMR
chr1	191356	191357	25	0.7222	non-DMR
chr1	191406	191407	28	0.7763	non-DMR
chr1	191425	191426	28	0.6564	non-DMR
chr1	191525	191526	28	0.7972	non-DMR
chr1	191625	191626	22	0.8645	non-DMR
chr1	191725	191726	25	0.7454	non-DMR
chr1	191825	191826	32	0.5464	non-DMR
chr1	191925	191926	23	0.602	non-DMR
chr1	191949	191950	23	0.6547	flank-DMR
