chr	start	end	coverage	methylation_level	type
chr1	211617	211618	37	0.7628	non-DMR
chr1	211657	211658	25	0.7402	non-DMR
chr1	211701	211702	18	0.7313	non-DMR
chr1	211748	211749	31	0.8684	non-DMR
chr1	211763	211764	28	0.6976	non-DMR
chr1	211812	211813	28	0.6656	non-DMR
chr1	211845	211846	29	0.8709	non-DMR
chr1	211893	211894	32	0.7053	non-DMR
chr1	211943	211944	30	0.7623	non-DMR
chr1	211990	211991	23	0.7298	non-DMR
chr1	212015	212016	31	0.7261	non-DMR
chr1	212056	212057	26	0.6991	non-DMR
chr1	212156	212157	21	0.7662	non-DMR
chr1	212217	212218	31	0.856	non-DMR
chr1	212271	212272	23	0.6612	non-DMR
chr1	212371	212372	39	0.5341	non-DMR
chr1	212471	212472	28	0.7087	non-DMR
chr1	212561	212562	26	0.7118	flank-DMR
